,oncopanel_v1,oncopanel_v2,oncopanel_v3,msk_impact341,msk_impact410,msk_impact468,vicc_01_t5a,vicc_01_t7
SOX2,O,O,O,O,O,O,O,O
STAG2,O,O,O,O,O,O,O,O
STK11,O,O,O,O,O,O,O,O
SUFU,O,O,O,O,O,O,O,O
TET2,O,O,O,O,O,O,O,O
TNFAIP3,O,O,O,O,O,O,O,O
TP53,O,O,O,O,O,O,O,O
TSC1,O,O,O,O,O,O,O,O
TSC2,O,O,O,O,O,O,O,O
VHL,O,O,O,O,O,O,O,O
WT1,O,O,O,O,O,O,O,O
XPO1,O,O,O,O,O,O,O,O
ALOX12B,O,O,,O,O,O,O,O
ARID1B,O,O,O,O,O,O,,O
BCL2L1,O,O,O,O,O,O,,O
BMPR1A,O,O,O,O,O,O,,O
BRD4,O,O,O,O,O,O,,O
CD274,O,O,O,O,O,O,,O
CDKN1A,O,O,O,O,O,O,,O
CEBPA,O,O,O,,O,O,O,O
DICER1,O,O,O,O,O,O,,O
EPHA3,O,O,,O,O,O,O,O
EPHA5,O,O,,O,O,O,O,O
ERCC4,O,O,O,O,O,O,,O
ERG,,O,O,O,O,O,O,O
FH,O,O,O,O,O,O,,O
FLCN,O,O,O,O,O,O,,O
HNF1A,O,O,O,O,O,O,,O
KDM5C,,O,O,O,O,O,O,O
KEAP1,,O,O,O,O,O,O,O
NFKBIA,O,O,O,,O,O,O,O
PARK2,O,O,O,O,O,O,,O
PBRM1,,O,O,O,O,O,O,O
PNRC1,O,O,,O,O,O,O,O
SDHB,O,O,O,O,O,O,,O
SDHC,O,O,O,O,O,O,,O
SDHD,O,O,O,O,O,O,,O
SH2B3,O,O,O,,O,O,O,O
SOX9,O,O,O,O,O,O,,O
SRC,O,O,,O,O,O,O,O
SYK,O,O,,O,O,O,O,O
TMPRSS2,,O,O,O,O,O,O,O
U2AF1,O,O,O,O,O,O,,O
ATR,,,O,O,O,O,O,O
B2M,O,O,O,O,O,O,,
BARD1,,,O,O,O,O,O,O
CASP8,,,O,O,O,O,O,O
CBFB,,,O,O,O,O,O,O
CDK12,,,O,O,O,O,O,O
CDK8,,,O,O,O,O,O,O
CHEK1,,,O,O,O,O,O,O
CIC,,,O,O,O,O,O,O
CSF1R,,O,,O,O,O,O,O
CTCF,,,O,O,O,O,O,O
DAXX,,,O,O,O,O,O,O
ERCC3,O,O,O,O,O,O,,
ERCC5,O,O,O,O,O,O,,
FOXL2,,,O,O,O,O,O,O
GATA2,,,O,O,O,O,O,O
GLI1,O,O,O,,O,O,,O
H3F3A,O,O,O,,O,O,,O
IGF2,,,O,O,O,O,O,O
IL7R,,,O,O,O,O,O,O
JAK1,,,O,O,O,O,O,O
KDM5A,,,O,O,O,O,O,O
MAP2K2,,,O,O,O,O,O,O
MAPK1,O,O,O,O,O,O,,
MED12,,,O,O,O,O,O,O
MRE11A,,,O,O,O,O,O,O
NOTCH3,,,O,O,O,O,O,O
NSD1,,,O,O,O,O,O,O
PHOX2B,O,O,O,O,O,O,,
PIM1,O,O,O,O,O,O,,
PMS1,O,O,O,O,O,O,,
PPP2R1A,,,O,O,O,O,O,O
RAD50,,,O,O,O,O,O,O
RAD51,,,O,O,O,O,O,O
RAD51C,,,O,O,O,O,O,O
RAD51D,,,O,O,O,O,O,O
RAD52,,,O,O,O,O,O,O
RICTOR,,,O,O,O,O,O,O
RNF43,,,O,O,O,O,O,O
RPTOR,,,O,O,O,O,O,O
SDHA,,O,O,O,O,O,,O
SDHAF2,O,O,O,O,O,O,,
SPOP,,,O,O,O,O,O,O
STAT3,O,O,O,,O,O,,O
SUZ12,O,O,O,O,O,O,,
TERT,O,O,O,O,O,O,,
TSHR,,,O,O,O,O,O,O
BCORL1,O,O,O,,,,O,O
CYLD,O,O,O,,,O,,O
EPHA7,O,O,,,O,O,,O
ETV4,O,O,O,,,,O,O
ETV5,O,O,O,,,,O,O
EWSR1,O,O,O,,,,O,O
FAM175A,,,O,O,O,O,,O
FANCD2,O,O,O,,,,O,O
FANCE,O,O,O,,,,O,O
FANCF,O,O,O,,,,O,O
FANCG,O,O,O,,,,O,O
FAT1,,,O,O,O,O,,O
GREM1,,,O,O,O,O,,O
ID3,O,O,O,,O,O,,
PDCD1LG2,O,O,O,,,O,,O
POLE,,,O,O,O,O,,O
PRKCI,O,O,O,,,O,,O
PRKDC,O,O,O,,,,O,O
PTPRD,,O,,O,O,O,,O
RAC1,,,O,O,O,O,,O
RAD21,O,O,O,,O,O,,
RBM10,,,O,O,O,O,,O
RECQL4,,O,O,O,O,O,,
RFWD2,O,O,,O,O,O,,
SRSF2,O,O,O,,O,O,,
TCF3,O,O,O,,O,O,,
TCF7L2,O,O,O,,O,O,,
VEGFA,,,O,,O,O,O,O
ZNF217,O,O,O,,,,O,O
ZRSR2,O,O,O,,O,O,,
AXIN2,,,O,O,O,O,,
CSF3R,,O,O,,O,O,,
CTLA4,,,O,O,O,O,,
EED,,O,,O,O,O,,
EPCAM,,,O,O,O,O,,
FAS,O,O,O,,,,,O
FOXA1,,,O,O,O,O,,
GATA4,O,O,O,,,,,O
GATA6,O,O,O,,,,,O
HIST1H3B,,,O,O,O,O,,
HOXB13,,,O,,O,O,,O
KLF4,,,O,O,O,O,,
MAX,,,O,O,O,O,,
MYB,O,O,O,,,,,O
NKX3-1,,,O,O,O,O,,
PIK3C2B,O,O,O,,,,,O
POLD1,,,O,,O,O,,O
PPARG,,O,O,,,O,,O
RASA1,,,O,O,O,O,,
RHEB,,O,O,,O,O,,
RHOA,,,O,O,O,O,,
RIT1,,,O,O,O,O,,
SH2D1A,,,O,O,O,O,,
TET1,,,O,O,O,O,,
TMEM127,,,O,O,O,O,,
TRAF7,,,O,O,O,O,,
XRCC2,,,O,,O,O,,O
YAP1,,,O,O,O,O,,
ACVR1,,,O,,O,O,,
BCL2L12,O,O,O,,,,,
BUB1B,O,O,O,,,,,
CALR,,,O,,O,O,,
CBLB,O,O,O,,,,,
CDKN1C,O,O,O,,,,,
CIITA,O,O,O,,,,,
CRTC1,O,O,O,,,,,
CTNNA1,,,O,,,,O,O
CUX1,O,O,O,,,,,
CXCR4,,,O,,O,O,,
DDB2,O,O,O,,,,,
EXT1,O,O,O,,,,,
EXT2,O,O,O,,,,,
FANCI,,,O,,,,O,O
FANCL,,,O,,,,O,O
FANCM,,,O,,,,O,O
FUS,O,O,O,,,,,
GLI2,O,O,O,,,,,
GPC3,O,O,O,,,,,
H3F3B,,,O,,O,O,,
HIST1H3C,,,O,,O,O,,
KAT6A,,,O,,,,O,O
LMO2,O,O,O,,,,,
MECOM,O,O,O,,,,,
MGA,,,O,,O,O,,
MYBL1,O,O,O,,,,,
NEGR1,,O,,,O,O,,
NFKBIZ,O,O,O,,,,,
PHF6,O,O,O,,,,,
PPM1D,,,O,,O,O,,
PRF1,O,O,O,,,,,
QKI,,O,O,,,,,O
RPA1,,,O,,,,O,O
RUNX1T1,,,O,,,,O,O
SBDS,O,O,O,,,,,
SETBP1,O,O,O,,,,,
